AON,DORMANCY_DAY_CNT,UC_TOT_RVN_AMT,VAS_TOT_RVN_AMT,SBRP_TOT_RVN_AMT,VOICE_SBRP_TOT_RVN_AMT,VOICE_TOT_ONNET_OG_RVN_AMT,VOICE_TOT_OFFNET_OG_RVN_AMT,VOICE_TOT_ISD_OG_RVN_AMT,INTERCONNECT_RVN,DATA_SBRP_TOT_RVN_AMT,DATA_UC_TOT_RVN_AMT,VOICE_OG_TOT_USG,VOICE_IC_TOT_USG,DATA_TOT_USG_MB,RVN_AMT,RCHRG_FLAG
1690,0,1383.39,0,0,0,220.01,1066.24,0,27,0,97.14,51.61666667,30.4,9.86680603,1440.53,1
1690,0,819.26,0,0,0,440,308.21,0,1104,0,71.05,44.48333333,96.13333333,6.844733238,819.26,0
1690,0,1.9,0,1902.8572,0,0.95,0,0,0,1902.8572,0.95,0.05,0,2005.215336,1904.7572,1
1690,0,3887.61,600,0,0,74.64,587.79,0,512.3333,0,3225.18,20.2,49.3,320.6743975,4487.61,1
1690,0,2101.66,1200,1800.9523,0,308.21,1011.19,0,676.9166,1800.9523,692.26,50.11666667,49.15,1130.175395,5216.8923,1
1690,3,0,0,0,0,0,0,0,9.4167,0,0,0,1.566666667,0,0,0
1689,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1689,5,33.92,0,0,0,0,0,0,0,0,3.92,0,0,0.477458954,33.92,0
1689,0,718.41,0,0,0,391.86,326.55,0,209.8334,0,0,20.66666667,26.23333333,0,718.41,1
1689,0,259.7,1619.14,1352.3811,0,65.31,139.28,0,813,760.9524,55.11,5.433333333,50.53333333,2339.200109,3356.2211,1
1688,0,59.78,300,951.4286,0,0,0,0,22.6667,951.4286,59.78,0,4.266666667,848.9077606,1311.2086,1
1688,0,7361.37,2419.14,0,0,7361.37,0,0,0,0,0,261.4333333,36.13333333,0,9780.51,1
1688,0,102.63,0,0,0,0,102.63,0,215.25,0,0,3.15,12,19.17574883,102.63,0
1688,1,429.18,0,0,0,205.26,223.92,0,71.6666,0,0,14.23333333,3.583333333,0,429.18,0
1687,0,8281.08,728.57,1214.2858,557.1429,5569.76,161.32,0,549.6665,0,0,591.6166667,296.6833333,85.88309765,10473.9358,1
1687,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1687,1,1745.29,0,189.5238,0,429.18,214.59,0,150.1667,189.5238,1101.52,19.63333333,18.4,291.157506,1934.8138,1
1687,0,192.2,0,1521.9048,0,0.78,0,0,46.5,1521.9048,191.42,0.083333333,4.216666667,6817.237871,1714.1048,1
1687,0,2340.47,600,2737.143,0,327.58,518.79,0,579.6667,2737.143,1494.1,38.11666667,105,2154.053925,6020.453,1
1687,0,1800.69,428.57,0,0,821.04,979.65,0,739.1666,0,0,52.83333333,57.06666667,0,2229.26,1
1687,0,550.47,0,0,0,335.88,214.59,0,267,0,0,19.43333333,22.18333333,51.59068108,550.47,0
1686,0,1904.76,0,0,0,0,1904.76,0,52,0,0,68.26666667,3.466666667,0,1904.76,1
1686,0,5206.19,0,657.143,0,1371.51,2715.03,0,2670.1665,0,1119.65,139.4333333,217,110.7301264,5863.333,0
1686,0,64.27,61.22,0,0,55.94,8.33,0,58.75,0,0,4.283333333,16.51666667,0,125.49,0
1686,0,1291.44,0,760.9524,0,744.5,4.91,0,222.8333,760.9524,527.03,51.68333333,70.4,687.7512674,2223.8124,1
1686,1,95,0,0,0,80,0,0,17.6667,0,0,5.35,17.3,0,95,0
1685,0,4712.09,0,6803.8096,0,796,2752.42,0,1666.1665,6803.8096,1103.67,157.5833333,156.8666667,8418.565598,11630.1796,1
1684,0,224.91,857.14,1385.7143,0,0,74.97,0,961.3334,1385.7143,149.94,25.76666667,70.13333333,2228.343356,2467.7643,1
1683,0,627.12,0,0,0,37.32,559.8,0,726.6666,0,0,17.88333333,46.31666667,0,627.12,0
1683,9,0,0,0,0,0,0,0,7.6667,0,0,0,0.383333333,0,0,0
1682,0,4083.92,300,0,0,1424.35,2538.1,0,671.25,0,1.47,130.55,119.35,0.000510216,4637.48,1
1681,1,231.9,400,261.9048,261.9048,0,9.33,0,38.6667,0,222.57,14.03333333,1.933333333,199.0813093,893.8048,0
1681,0,0,0,0,0,0,0,0,0,0,0,0,0,191.2674274,0,0
1680,1,555.59,0,1426.6667,0,40,283.22,0,197.3333,1426.6667,202.37,13.28333333,11.16666667,61.71302891,1982.2567,0
1680,0,537.84,0,0,0,102.63,345.21,0,91.3333,0,0,13.18333333,18.73333333,0,537.84,1
1679,0,912,300,1704.762,1704.762,118,764,0,1502.4166,0,0,70.41666667,109.0666667,0,2916.762,0
1679,0,478.28,428.57,2473.3334,0,300,133.28,0,119.4166,2473.3334,0,22.03333333,28.01666667,3145.761019,3380.1834,1
1679,0,1341.8,0,0,0,940,399.84,0,710.4167,0,1.96,86.36666667,79.38333333,0.118146896,1341.8,1
1679,0,3167.76,0,0,0,644,2178.76,0,2477.2501,0,0,128.1333333,155.5,0,3282.04,1
1679,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1678,0,2273.53,600,0,0,1104,358.19,0,1782.3332,0,121.34,97.05,194.1666667,11.8974514,2873.53,1
1678,0,3589.43,489.79,0,0,1240.89,46.65,0,529.5833,0,2301.89,42.83333333,146.4,229.3331366,4136.36,1
1677,0,2940.84,2389.15,6660,0,444,884.83,0,872.6665,6660,1612.01,60.71666667,80.55,7326.314038,12104.27,1
1677,0,2722.41,0,0,0,399.7,1073.21,0,1232.6668,0,1249.5,73.28333333,92.85,122.56639,2836.69,1
1676,1,849.09,0,0,0,37.32,518.66,0,159.3334,0,293.11,2.116666667,9.7,28.68272591,849.09,0
1676,0,1209.92,94.29,2282.8572,0,528.47,606.45,0,176,2282.8572,0,36.91666667,25.48333333,13771.96255,3587.0672,1
1676,0,4137.37,857.14,3424.762,380.9524,18.66,3728.71,0,871.1668,3043.8096,0,197.3666667,64.2,3227.507774,8419.272,1
1674,0,722.18,0,0,0,324,383.18,0,228.5833,0,0,37.76666667,55,120.960371,722.18,0
1673,0,577.33,857.14,0,0,260,306.55,0,132.3333,0,10.78,31.96666667,15.51666667,0.026092529,1491.61,1
1672,0,411.2,0,0,0,411.2,0,0,84.6667,0,0,12,14.53333333,0,411.2,0
1672,0,1222.89,2038.14,2380,0,948,274.89,0,51.6667,2380,0,85.81666667,53.98333333,5424.867351,5641.03,1
1671,1,9.33,0,0,0,9.33,0,0,20,0,0,0.05,9.383333333,0,9.33,0
1671,2,289.23,0,2473.3334,0,0,289.23,0,0,2473.3334,0,9.183333333,2.683333333,2385.917232,2762.5634,1
1671,0,1039.97,0,0,0,328,474.81,0,79.5833,0,237.16,41.78333333,29.18333333,23.615798,1039.97,1
1671,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1670,1,164.28,0,0,0,46.65,102.63,0,7.3333,0,0,4.383333333,11.76666667,352.4012022,164.28,0
1669,0,0,0,0,0,0,0,0,29,0,0,0,83.21666667,0,0,0
1668,0,981.66,300,3424.7619,0,195.93,740.73,0,672.5834,3424.7619,0,27.05,41.53333333,8337.614156,4763.5619,1
1668,0,885.17,0,952.381,0,130.62,662.43,0,964.75,952.381,92.12,24.48333333,68.65,81.6423645,1837.551,1
1668,0,243.66,0,0,0,212,16.66,0,305.0834,0,0,16.36666667,39.65,0,243.66,1
1667,0,954.56,0,0,0,541.14,391.86,0,895.2499,0,21.56,36.85,42.68333333,3.284745216,954.56,1
1667,0,469.24,0,0,0,20,449.24,0,252.75,0,0,18.46666667,21.91666667,0,469.24,1
1666,0,923.67,1285.71,2855.238,0,559.8,363.87,0,191.3786,2855.238,0,30.23333333,16.96666667,2922.20443,5064.618,1
1666,0,714.32,0,0,0,636,33.32,0,114,0,0,51.73333333,46.91666667,0,714.32,1
1666,0,716.07,0,0,0,474.5,241.57,0,81.3334,0,0,47.01666667,34.25,0,716.07,1
